ClassId,AverageSize,DistinctSizesCount,PeakRecordsCount,TotalRecords,StdDev
2,14678,23141,8,41095,9260.02
2332,86,28,15,143,8.92
2463,80,15,44,76,5.69
2468,227,154,90,1084,78.85
2468,470,59,17,171,62.39
2471,114,14,585,3215,7.15
2471,130,95,88,1267,22.73
2471,256,41,4,55,38.32
2471,521,2,1,2,8.48
