ClassId,Size,Count
5305,232,31922
5305,237,29492
5305,943,3
5305,2152,1
5305,2855,3
58982,295,36100
61306,37,179935
61306,39,184001
61307,192,2309642
61354,299,370717
61354,300,352398
62541,67,494037
