ClassId,Size,Count
39968,51,2
41243,4586,1
42168,43,17
42168,44,58
42168,45,130
42168,47,342
42168,48,6826
42168,49,1
42603,83,1403142
42603,96,1333694
42783,32,1
42783,33,9
42783,34,698
44041,18,200
44188,39,1046
46189,9,20
47040,114,6328
47040,4987,2
47429,91,2
48003,23,4881089
48003,29,4675477
48003,41,11
48003,44,2
48003,48,45
49405,398,424
49405,399,433
49405,4554,1
49692,32,111
50467,271,1
52033,83,1
52981,102,874
52981,103,344
53220,3,838
53433,126,1479
53433,12673,1
53560,19,175
53560,24,207
53560,26,362
53560,29,117
53668,164,1680
53897,42,315
53897,63,463
53897,75,113
54159,136,1
57075,3,2
58763,66,1
58844,20,1
58844,21,4
60768,123,2
60768,124,16
60768,125,494
60768,126,1
60916,49,2207
60916,50,301
60916,53,513
61144,6,13
61924,11959,1
61924,13547,1
63379,450,101348
64030,128,18577
64592,31,225
64592,34,3
64592,692,109
64592,693,125
64592,694,111
2,32711,167969
3351,181,1
4730,32,9
5006,85,4917
5006,101,4840
5006,124,192
5719,5047,1
6559,3,1
7166,211,2232
8160,79,1
8160,511,1
8160,1051,1
8366,217,320
8366,470,101
8366,471,151
8379,98,1
8617,127,1695
8617,129,1643
8859,1271,1
8859,1276,2
9256,39,86
9256,41,1582
9256,51,5
9256,53,34
9631,48,7
9631,49,160
9631,50,13217
9631,51,34671
9631,52,6015
9855,4825,1
13064,719,663
34897,3,1
34897,498,1
36106,264,104
36307,9,15
39079,162,2
39079,163,2
39079,164,3
40220,30,2
40273,146,1
40273,147,1
40822,138,8798
40822,144,8089
41368,88,2057
41368,89,1936
42408,47,4845
42408,52,5465078
42408,53,28
42795,44,11754
43796,1,5
44190,178,151
44934,301,1
44934,738,1
45568,17,1
46126,817,171
46126,818,159
46246,5,139
46246,12284,1
46246,24334,1
47160,1,82
47611,45,37811
47611,46,2199
49018,63,5
49018,65,2
49018,67,217
49443,55,4
49443,57,4
50461,20,1
51517,105,1
52262,61,272
52262,589,578
52262,590,608
52262,591,563
52262,592,552
52612,23,17364
52612,34,4
52612,36,3
53160,88,1
53160,96,2
53160,101,9
53375,76,1
54843,210,1
54843,601,1
56827,2465,1
57485,281,8671
57786,512,5889
57786,513,6018
57786,514,6493
57786,515,6495
57786,516,6080
58366,208,1
58498,343,15184
60726,550,1
61798,13,15
61798,14,169
61798,15,1301
61798,16,255
61798,17,6
61798,18,2
62541,51,13043
62848,161,83698
62848,162,92890
62848,5372,1
63489,177,85544
64591,37,1792
64591,41,332
64591,48,388
2904,54,5
2904,57,2
3334,302,1
4642,56,1
5004,182,32479
5627,13,2
6474,2191,3
6517,508,2
6517,513,2
7068,821,368
7068,822,363
7219,59,242
7219,66,121
7903,9,1
7903,16,35
7903,17,104
8087,34,38
8087,37,227
8358,172,143
8358,173,245
8358,174,171
8369,2988,1
9249,26,607
9249,29,68
9249,36,43
9249,44,141
9249,49,2
9816,26,4
33171,50,1645
33171,51,1488
35675,9097,1
35872,31,1
38005,32,248
38555,78,3554
38555,79,3418
39802,103,1
39967,34,42
39967,38,36
41310,119,536
41920,27,25
41920,28,15
41999,17305,1
42634,54,1594
43319,33,1
43430,105,1901
43650,61,2422
45379,45,1
46929,10,1043
47420,34,222
49442,45,4
49442,47,4
50177,61,1
50958,106,1
50958,150,1
51416,19,32735
51831,238,4
51831,255,16235
52432,69,165
52433,4449,1
52844,91,1
53166,79,3708
53966,1674,1436
54459,15,1
54459,16,1
56569,33,1
56655,541,105
57873,39,12899
58124,35,1
58496,842,853
58496,843,939
58496,844,907
58496,845,888
58982,279,8722
61386,50,295
61386,51,1181
61386,52,430
61386,53,572
62274,75,11
62274,76,2
62274,91,1
62622,61,443
62622,91,159
62622,668,414
63141,50,233
63141,67,17
63487,115,11039
63989,397,139
63989,398,155
64453,60,30
64453,86,1
64453,96,1
2907,7,4
2907,8,15
2907,9,1147
2907,10,25932
2907,13,1
3113,13,2
4010,49,6781
4010,17458,1
4093,88,1
4900,151,233
4900,153,220
5611,42,1
6120,56,2
6120,897,1
6120,4005,1
6457,4157,1
7193,25,282
7193,31,90
7345,32,175
7345,33,885
7345,57,1123
8334,183,1
8505,17,341
8505,20,100
8996,138,437
9726,3457,1
30822,157,644
30822,158,659
33560,131,7010
34226,43,5808
34424,30,2
34424,33,52
34424,34,261
34424,35,78
35437,10,85308
36036,1226,1214
36036,1227,1196
36036,1228,1255
37341,20,1126
37341,149,103
37743,133,734
37883,79,19382
39556,21,1
41816,3,1
41816,1163,1
41816,2119,1
42333,68,99
42333,72,22706
42333,77,4
43183,1,1
43309,107,388
43864,435,4139
43864,437,4121
44999,144,1
46165,207,1
46165,209,1
46704,9,5
47318,151,1
47318,421,1
47318,451,1
48117,22,1621
48117,61,1631
48866,28,1439
49702,10,24
50779,187,17543
50779,188,17757
51258,659,1
52030,49,1
52030,54,2
52030,57,5
52615,107,1
53776,32,1
53776,35,1
54149,196,146028
55495,91,241
56387,53,14
57849,163,31543
57934,50,138
60683,80,1
61101,8,158
61101,9,322
61101,10,187
61101,11,59
61101,12,1
61307,145,1344512
61307,146,1349870
61354,256,264579
61354,257,278271
61354,258,276894
61354,259,261830
62081,61,816
62628,119,1626
62628,145,1542
63109,383,1
63109,384,2
64449,648,1
64449,875,1
64449,884,1
64540,3,1
64633,289,2
64633,290,2
